algorithm,length,ticks_per_second,total_ticks,robots,arena_size,seed,arena_type,maze_width,maze_height,scatter_size,scatter_density,num_agents,reached_count,reached_ratio,mean_time_sec,fastest_time_sec,slowest_time_sec,total_distance,obstacles_count,run_id
flood_fill,1,2,2,9,10.0,76502,scatter,10,10,1.0401599220654083,0.39759178408641305,9,0,0.0,0,0,0,0.5508416623200366,26,294
projet,1,2,2,9,10.0,66004,scatter,10,10,1.0928488607538027,0.01744451707920039,9,0,0.0,0,0,0,0.13787031922053397,5,223
aco,1,2,2,3,10.0,1693,scatter,10,10,1.985563452072213,0.1894329324155138,3,0,0.0,0,0,0,0.2022859338870452,9,314
projet,1,2,2,7,10.0,8736,scatter,10,10,1.8643288121824617,0.31463773484215163,7,0,0.0,0,0,0,0.1285752026072794,10,6
pso,1,2,2,9,10.0,17605,scatter,10,10,1.2089129761821613,0.7214826100737602,9,0,0.0,0,0,0,0.12550916620913774,22,459
flood_fill,1,2,2,4,10.0,87313,scatter,10,10,1.1129711020623103,0.760506648039323,4,0,0.0,0,0,0,0.25019584380201054,24,59
pso,1,2,2,9,10.0,34164,scatter,10,10,1.5206363153160634,0.8380258535311214,9,0,0.0,0,0,0,0.14373547434527112,15,201
pso,1,2,2,8,10.0,53412,scatter,10,10,1.5692958920142552,0.014716757046630407,8,0,0.0,0,0,0,0.15503491760819613,5,343
coverage,1,2,2,1,10.0,14867,scatter,10,10,1.6477088746088044,0.7086577912123591,1,0,0.0,0,0,0,0.042265553787924785,13,444
flood_fill,1,2,2,6,10.0,42969,scatter,10,10,1.425703710405829,0.08688102733027857,6,0,0.0,0,0,0,0.43815335423343105,8,216
aco,1,2,2,2,10.0,60954,scatter,10,10,1.4222467092227131,0.15869223560276968,2,0,0.0,0,0,0,0.14866178952421516,12,284
aco,1,2,2,10,10.0,7885,scatter,10,10,1.4701903008964265,0.2504899778399283,10,0,0.0,0,0,0,0.540094780583775,15,388
projet,1,2,2,5,10.0,80956,scatter,10,10,1.6365396899111186,0.30049373467292645,5,0,0.0,0,0,0,0.06393878526840052,13,243
pso,1,2,2,7,10.0,41050,scatter,10,10,1.2173470872512642,0.49225698867365464,7,0,0.0,0,0,0,0.10703834779452276,19,113
pso,1,2,2,1,10.0,68125,scatter,10,10,1.570071643192427,0.07556074944472525,1,0,0.0,0,0,0,0.001152556289297006,7,45
pso,1,2,2,2,10.0,93304,scatter,10,10,1.114300942212527,0.2136369489838562,2,0,0.0,0,0,0,0.018143109193866257,21,219
pso,1,2,2,6,10.0,48404,scatter,10,10,0.7265612386059261,0.47957849273459885,6,0,0.0,0,0,0,0.10554623238497529,54,418
coverage,1,2,2,8,10.0,88243,scatter,10,10,1.926015462388762,0.2533236428372464,8,0,0.0,0,0,0,0.4838998226771363,9,276
flood_fill,1,2,2,3,10.0,63341,scatter,10,10,0.4755429694510075,0.0659217466444301,3,0,0.0,0,0,0,0.1954136940649044,33,121
aco,1,2,2,5,10.0,9471,scatter,10,10,1.5370903144574104,0.08887452219192649,5,0,0.0,0,0,0,0.31879489206795536,8,0
coverage,1,2,2,8,10.0,39460,scatter,10,10,1.0953992104428145,0.3623167539454432,8,0,0.0,0,0,0,0.3381206553811056,24,147
flood_fill,1,2,2,10,10.0,47711,scatter,10,10,0.4333884509824907,0.48569773873652317,10,0,0.0,0,0,0,0.4178243113024651,151,117
coverage,1,2,2,4,10.0,75013,scatter,10,10,0.4236003338380143,0.22314281477962744,4,0,0.0,0,0,0,0.12133999490146027,128,469
coverage,1,2,2,3,10.0,8658,scatter,10,10,1.6707850916321574,0.09862460195440492,3,0,0.0,0,0,0,0.10434844775574158,8,480
projet,1,2,2,8,10.0,203,scatter,10,10,1.9031095061484253,0.13291309987815636,8,0,0.0,0,0,0,0.11344295234987184,8,291
aco,1,2,2,10,10.0,36760,scatter,10,10,0.7777632455222023,0.0239751333157794,10,0,0.0,0,0,0,0.5367766361983919,8,298
coverage,1,2,2,1,10.0,20112,scatter,10,10,1.1266867083750034,0.023298600311245275,1,0,0.0,0,0,0,0.0,6,186
coverage,1,2,2,4,10.0,79732,scatter,10,10,1.232199481231626,0.41244784756352626,4,0,0.0,0,0,0,0.21975129778801505,20,441
pso,1,2,2,4,10.0,54906,scatter,10,10,0.7731872358824277,0.20735039731327665,4,0,0.0,0,0,0,0.07507077182586455,39,410
pso,1,2,2,3,10.0,37161,scatter,10,10,0.4609449030770112,0.8013007575643616,3,0,0.0,0,0,0,0.04444056320977378,135,4
flood_fill,1,2,2,2,10.0,87542,scatter,10,10,0.19198866579065108,0.1340039043363852,2,0,0.0,0,0,0,0.17036796569527643,368,58
coverage,1,2,2,2,10.0,72996,scatter,10,10,1.7856463404739926,0.007195175340612696,2,0,0.0,0,0,0,0.11365032604899278,4,465
flood_fill,1,2,2,8,10.0,94666,scatter,10,10,1.8849888952677882,0.13190902611693683,8,0,0.0,0,0,0,0.6539406808585738,8,189
projet,1,2,2,3,10.0,40459,scatter,10,10,1.920262021991312,0.04999561449642823,3,0,0.0,0,0,0,0.020299003399693656,5,422
aco,1,2,2,9,10.0,78667,scatter,10,10,0.6327878527102067,0.40892689578167346,9,0,0.0,0,0,0,0.4860607704415602,73,166
aco,1,2,2,9,10.0,9051,scatter,10,10,1.185639634191789,0.08476493606173946,9,0,0.0,0,0,0,0.513443954976997,10,464
coverage,1,2,2,1,10.0,50012,scatter,10,10,1.02037326045876,0.27218507583386065,1,0,0.0,0,0,0,0.04634617525751121,29,289
pso,1,2,2,9,10.0,90899,scatter,10,10,1.917304002159792,0.7274082787360315,9,0,0.0,0,0,0,0.13614847022161972,9,240
aco,1,2,2,7,10.0,64939,scatter,10,10,1.8838515048293605,0.7377858209524291,7,0,0.0,0,0,0,0.5247743689733512,11,188
projet,1,2,2,2,10.0,58979,scatter,10,10,0.4331518266469251,0.05556552235019469,2,0,0.0,0,0,0,0.014739848309627629,34,285
flood_fill,1,2,2,9,10.0,32730,scatter,10,10,0.5628264985809922,0.0744893209159288,9,0,0.0,0,0,0,0.5958085975648721,28,370
flood_fill,1,2,2,6,10.0,61469,scatter,10,10,1.095470879096587,0.03674870256813299,6,0,0.0,0,0,0,0.29246310900917244,7,54
projet,1,2,2,5,10.0,41137,scatter,10,10,0.42047066121679744,0.353879247589293,5,0,0.0,0,0,0,0.05898846526387475,157,198
aco,1,2,2,5,10.0,98562,scatter,10,10,0.3435606574383491,0.7693515868502807,5,0,0.0,0,0,0,0.22454684849659434,242,22
flood_fill,1,2,2,7,10.0,16907,scatter,10,10,0.6299110623626689,0.7779315869987652,7,0,0.0,0,0,0,0.3565087825600498,70,2
flood_fill,1,2,2,9,10.0,83734,scatter,10,10,1.2318985171645973,0.6332595295790324,9,0,0.0,0,0,0,0.4475919778361622,22,310
projet,1,2,2,2,10.0,63079,scatter,10,10,1.517642235216035,0.646787927036956,2,0,0.0,0,0,0,0.013499997851046192,14,260
aco,1,2,2,9,10.0,80847,scatter,10,10,0.33866991489373177,0.37088170920272523,9,0,0.0,0,0,0,0.4792261714507169,249,333
aco,1,2,2,4,10.0,1965,scatter,10,10,1.776358564082643,0.6043429674936103,4,0,0.0,0,0,0,0.24449750790948116,10,472
coverage,1,2,2,10,10.0,30545,scatter,10,10,1.001785893339868,0.00308009541875141,10,0,0.0,0,0,0,0.33011872714398427,4,178
coverage,1,2,2,6,10.0,32249,scatter,10,10,1.3252592212638175,0.22436619078619077,6,0,0.0,0,0,0,0.2611075403847051,17,150
pso,1,2,2,10,10.0,71535,scatter,10,10,1.5479930833605597,0.5707764661555712,10,0,0.0,0,0,0,0.16581872651290444,14,436
flood_fill,1,2,2,2,10.0,65212,scatter,10,10,0.5479223098499942,0.5394924143164634,2,0,0.0,0,0,0,0.15285885414555883,95,319
coverage,1,2,2,5,10.0,60553,scatter,10,10,0.3327849386426165,0.11092922363389081,5,0,0.0,0,0,0,0.23168451805423465,104,274
projet,1,2,2,10,10.0,26763,scatter,10,10,1.3781907113311762,0.4045543747237619,10,0,0.0,0,0,0,0.12223319993367893,17,338
projet,1,2,2,4,10.0,26839,scatter,10,10,1.5095127239835262,0.34053200671632944,4,0,0.0,0,0,0,0.053051904900141736,14,297
flood_fill,1,2,2,8,10.0,27647,scatter,10,10,1.145993347950502,3.275656907691368e-05,8,0,0.0,0,0,0,0.4680250635072164,4,327
projet,1,2,2,8,10.0,47803,scatter,10,10,1.2034821138454537,0.048335638065076014,8,0,0.0,0,0,0,0.09259183564805445,7,341
coverage,1,2,2,4,10.0,92084,scatter,10,10,1.9110457312485047,0.05250118298906038,4,0,0.0,0,0,0,0.11069214866980388,5,179
coverage,1,2,2,3,10.0,71939,scatter,10,10,0.32608015200073615,0.4343241961736699,3,0,0.0,0,0,0,0.11004985647169754,271,489
coverage,1,2,2,10,10.0,63590,scatter,10,10,0.539185764671205,0.6473124576315259,10,0,0.0,0,0,0,0.4359796699060181,103,63
projet,1,2,2,4,10.0,63672,scatter,10,10,0.34384571055570057,0.678846459255505,4,0,0.0,0,0,0,0.08941107850944169,245,153
projet,1,2,2,5,10.0,12961,scatter,10,10,1.0641064310491364,0.4541597910514308,5,0,0.0,0,0,0,0.03384918631101954,28,236
pso,1,2,2,5,10.0,93470,scatter,10,10,1.3525923675003029,0.5299939763588891,5,0,0.0,0,0,0,0.06005991773950965,16,395
coverage,1,2,2,8,10.0,75825,scatter,10,10,1.193133385467649,0.2810537155616483,8,0,0.0,0,0,0,0.390825767854052,22,131
flood_fill,1,2,2,5,10.0,8697,scatter,10,10,1.9926250483122332,0.5805197993485829,5,0,0.0,0,0,0,0.37356808244211737,11,484
projet,1,2,2,6,10.0,38466,scatter,10,10,1.7031703481280958,0.5543121778187519,6,0,0.0,0,0,0,0.09036516737709142,13,412
projet,1,2,2,7,10.0,5032,scatter,10,10,0.1947472584683353,0.5183350395565105,7,0,0.0,0,0,0,0.08490930784618485,758,268
coverage,1,2,2,2,10.0,20509,scatter,10,10,1.7393353948612487,0.3723395650541449,2,0,0.0,0,0,0,0.0,12,279
flood_fill,1,2,2,4,10.0,48995,scatter,10,10,1.2739744964287103,0.19380864892043997,4,0,0.0,0,0,0,0.20480945769347525,16,364
aco,1,2,2,8,10.0,34747,scatter,10,10,1.219444259557905,0.17265700005045465,8,0,0.0,0,0,0,0.4800256889282103,16,209
aco,1,2,2,7,10.0,43363,scatter,10,10,0.546865060010843,0.49137532222865843,7,0,0.0,0,0,0,0.43049960080128946,97,52
pso,1,2,2,1,10.0,599,scatter,10,10,1.7036575145135398,0.029341560285196792,1,0,0.0,0,0,0,0.019023539444593212,5,450
flood_fill,1,2,2,4,10.0,22474,scatter,10,10,1.364769199213739,0.003449772775565766,4,0,0.0,0,0,0,0.1519046619875583,4,7
flood_fill,1,2,2,10,10.0,56338,scatter,10,10,0.2801181735033111,0.08387229826395966,10,0,0.0,0,0,0,0.5120668957000714,111,8
aco,1,2,2,9,10.0,69144,scatter,10,10,1.0318295878508081,0.23460426613261634,9,0,0.0,0,0,0,0.5544590129194145,25,60
