,arena_type,robots,algorithm,reached_ratio,reached_ratio,mean_time_sec,mean_time_sec,total_distance,total_distance,scatter_density,scatter_density,scatter_size,scatter_size
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
0,scatter,1,aco,0.0,0.0,0.0,0.0,0.06857301189771578,0.014826177550226485,0.49929835333645656,0.2360529630380412,0.9997467811740606,0.5562970510475814
1,scatter,1,coverage,0.0,0.0,0.0,0.0,0.023789788671336277,0.0326450298441542,0.3051281852096722,0.2830780085035017,0.8686667686503726,0.5008672348661292
2,scatter,1,flood_fill,0.0,0.0,0.0,0.0,0.06204111736199218,0.027910796882917525,0.3096217653009578,0.2511716810558262,1.0577208294067397,0.7044884370042673
3,scatter,1,projet,0.0,0.0,0.0,0.0,0.006961457421266129,0.0005086924107710898,0.1687468429546531,0.14783146666343872,1.1969705948844163,0.5403229001743082
4,scatter,1,pso,0.0,0.0,0.0,0.0,0.012128115242867547,0.006405305366623729,0.16066146949801213,0.16876331113989684,0.8789428186657752,0.5483226410784532
5,scatter,2,aco,0.0,0.0,0.0,0.0,0.12871148480013164,0.040868673931326996,0.2786674360921629,0.1828321665924531,1.1744754088078109,0.6164693486907983
6,scatter,2,coverage,0.0,0.0,0.0,0.0,0.06221263247170189,0.060177792533507746,0.23447864360038842,0.22340624529913455,1.1345715318215452,0.5491800038512284
7,scatter,2,flood_fill,0.0,0.0,0.0,0.0,0.10622600563885995,0.05602248066050575,0.32507408073210303,0.3082933984454373,0.6772973594695124,0.5580563125337131
8,scatter,2,projet,0.0,0.0,0.0,0.0,0.020042800741425126,0.020248687224778374,0.23117650086244385,0.2671624229796414,0.9292357066113365,0.5611842903039828
9,scatter,2,pso,0.0,0.0,0.0,0.0,0.027858215660206364,0.01110663407099859,0.4081151877479387,0.2791846023854171,1.0896133512961694,0.5943791263907285
10,scatter,3,aco,0.0,0.0,0.0,0.0,0.18133600653728105,0.026999318993968104,0.36591413279268414,0.265403653755125,1.0843359669019343,0.6125965133829795
11,scatter,3,coverage,0.0,0.0,0.0,0.0,0.09904960465812762,0.039588361361691415,0.2513456751730812,0.22505067807090604,0.9245768306600601,0.5518942689761265
12,scatter,3,flood_fill,0.0,0.0,0.0,0.0,0.14976635241559394,0.061813844289424144,0.266944338665214,0.2690304583571848,0.9418476252993668,0.6011296110946287
13,scatter,3,projet,0.0,0.0,0.0,0.0,0.025389895786962956,0.011050817539025497,0.24347176910628615,0.23555294305164323,1.411852492502528,0.5955065067547057
14,scatter,3,pso,0.0,0.0,0.0,0.0,0.036014579555984486,0.01190569575582891,0.44248299575330224,0.24900003067160517,0.9996826087804587,0.49949617266786284
15,scatter,4,aco,0.0,0.0,0.0,0.0,0.25282804455062674,0.05052923292901143,0.3501838847237768,0.27795248827259483,1.2798538919500086,0.5853324587043697
16,scatter,4,coverage,0.0,0.0,0.0,0.0,0.14762522669846817,0.06063828050357791,0.2817625926314128,0.23642705446086454,1.218941967952446,0.46720625041628405
17,scatter,4,flood_fill,0.0,0.0,0.0,0.0,0.20842228281629543,0.05109989520244008,0.3806169690453855,0.3134953776524883,1.382511410102534,0.3591000184479473
18,scatter,4,projet,0.0,0.0,0.0,0.0,0.054248439950231174,0.023570790776355557,0.29139794066724245,0.20035759264881048,1.4199077171834806,0.5967099019347296
19,scatter,4,pso,0.0,0.0,0.0,0.0,0.06317765874958851,0.01166446073514624,0.330451610439526,0.18011355047605163,0.9755331325176593,0.6339399757581924
20,scatter,5,aco,0.0,0.0,0.0,0.0,0.2867254177693721,0.04467899597982216,0.3616228464212294,0.2949971297773099,1.0899103680506042,0.6056795054447058
21,scatter,5,coverage,0.0,0.0,0.0,0.0,0.1820655508617766,0.07209430997230819,0.19255475585432566,0.2416823676754907,0.6754277737577675,0.5855753467566001
22,scatter,5,flood_fill,0.0,0.0,0.0,0.0,0.32596808107513175,0.0407686383067147,0.33014593197455194,0.22764307558811797,1.0801465312418088,0.5498269533940484
23,scatter,5,projet,0.0,0.0,0.0,0.0,0.05660157742844872,0.024228635659649583,0.36048588751022126,0.21993143558952596,0.8863733424482316,0.4081490792343002
24,scatter,5,pso,0.0,0.0,0.0,0.0,0.06986260352592347,0.01265859743291181,0.41245884683040873,0.3484538053922415,1.1613655914504637,0.5707212039000855
25,scatter,6,aco,0.0,0.0,0.0,0.0,0.3382429598193496,0.03073309897596605,0.42106215836547617,0.25490153542862365,0.8067508246878583,0.5476974754539561
26,scatter,6,coverage,0.0,0.0,0.0,0.0,0.17606445031590523,0.05870361707306908,0.38615144732779727,0.3021348978695362,1.1575018100065266,0.5582018733909965
27,scatter,6,flood_fill,0.0,0.0,0.0,0.0,0.34158539023182405,0.059497734419333176,0.17695899582601907,0.2266495936463169,0.7825805810865497,0.47794501302172654
28,scatter,6,projet,0.0,0.0,0.0,0.0,0.08624745655890519,0.022301850659413886,0.4781872582013958,0.20912036054573002,1.1687853666298569,0.4953012378795933
29,scatter,6,pso,0.0,0.0,0.0,0.0,0.09092609676875299,0.0197060054485904,0.41551229355394187,0.28169770240789166,0.9814602687671288,0.46139666295663095
30,scatter,7,aco,0.0,0.0,0.0,0.0,0.3827101786605823,0.08229553163548152,0.3448242290702515,0.25980194482427954,1.0220546197294194,0.5886446510765198
31,scatter,7,coverage,0.0,0.0,0.0,0.0,0.24902915431266917,0.07787921021648392,0.3584377797148474,0.26859923704120087,1.078973493468229,0.6401771423264915
